,comment,recommend,prediction,no preprocessing,no smoothing,no preprocessing or smoothing
10,"['نوشته', 'سفر', 'اما', 'دیگه', 'فکر', 'نمیکرد', 'در', 'این', 'حد', 'نازک', 'باشه', '.', 'خیل', 'خیل', 'نازکه', '.', 'نرمه', 'طیفه', 'اما', 'ضخامت', 'خیل', 'کمه', 'و', 'نسب', 'له', 'قیمت', 'اصلا', 'نمیارزه', 'ب', 'ن', 'نازک']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
11,"['واقعا', 'دوس', 'دار', 'جنس', 'عالیه', 'کیف', 'دوش']",recommended,recommended,recommended,recommended,recommended
12,"['کاور', 'مقاو', 'و', 'قشنگیه', 'اما', 'متأسفانه', 'مد', 'زیادیه', 'که', 'ناموجوده', '.', '.', '.', '\r', 'اگر', 'موجود', 'بشه', 'قطعاً', 'سه', 'تا', 'سفار', 'می\u200cد', '.', '\r', 'رنگ', 'طلا', 'که', 'فوق\u200cالعاده', 'زیباس', 'و', 'طراح', 'لبه', 'به', 'نحویه', 'که', 'دس', 'رو', 'اذ', 'نمی\u200cکنه', '.', '\r', 'لطفاً', 'موجود', 'بشه\r', 'ممنون', 'mi', '4w']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
13,"['کلید', 'ضامن', 'پلاستیک', 'و', 'ب', 'کیف', '.', '\r', 'یه', 'گیر', 'تو', 'باز', 'و', 'بسته', 'شدن', 'داره', '.', '\r', 'هر', 'جور', 'ه', 'ضامن', 'و', 'آرو', 'یا', 'محک', 'یا', 'هر', 'جور', 'دیگه', 'میکش', 'باز', 'گیر', 'داره', '.', '\r', 'تیغه', 'اره', 'لق', 'میزنه\r', 'بعد', 'چند', 'بار', 'استفاده', 'که', 'لق', 'ب', 'ه', 'میشه\r', 'وقت', 'جمع', 'میکن', 'درس', 'تو', 'شیار', 'و', 'محور', 'خود', 'نمیشینه', 'و', 'باید', 'با', 'دس', 'جا', 'بنداز', 'تو', 'شیار', '.', '\r', 'در', 'کل', 'از', 'زیاد', 'انتظار', 'داشت#دار', '.', '\r', 'با', 'اره', '', 'تاشو', 'دیگه', 'ا', 'کار', 'کرد#کن', 'شاید', 'همشون', 'همینجور', 'باشن', 'نمیدون', '.', 'ول', 'من', 'از', 'خرید', 'راض', 'نیس', '.', 'و', 'دقیقا', 'یه', 'جنس', 'چین', 'درجه', 'پایین', 'خرید', '.', 'هزار', 'رحم', 'به', 'اره', '', 'معمول', 'طرح', 'قدیم', 'تو', 'بازار', 'بعد', 'از', 'تس', 'اره']",not_recommended,not_recommended,recommended,not_recommended,not_recommended
14,"['حت', 'به', 'عنو', 'میکروسکوپ', 'دان', 'آموز', 'ه', 'ارز', 'نداره', 'و', 'ب', 'یک', 'اسباب', 'باز', 'هس', '.', 'کیف', 'پایین']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
15,"['سلا', '،', 'گزینه', 'خوبیه', 'من', 'یه', 'mg', '2540', 'خرید#خر', 'یعن', 'رسما', 'منو', 'روان', 'کرد#کن', '.', '.', '\r', 'کارتریج', 'کنتور', 'دا', 'بعد', '۳۰۰', 'برگ', 'نمیزد', 'دیگه', '!', '\r', 'این', 'که', 'به', 'دس', 'رسید', 'حس', 'خلاص', 'شدن', 'از', 'دس', 'شارژ', 'کارتریج', 'و', 'تعویض', 'کارتریج', 'کاملا', 'حس', 'کرد#کن', '.', '\r', 'پرین', 'خوبیه', 'کیف', 'چاپ', 'بسیاااااار', 'فوق', 'العاده', '#هست', 'کاغذ', 'با', 'کیف', 'خرید#خر', 'و', 'پرین', 'گرفت#گیر', 'قطعا', 'متوجه', 'منظور', 'میشید', '!', '(', 'کاغد', 'معمول', 'A4', 'ه', 'باید', 'با', 'کیف', 'خرید#خر', ')', '\r', '۳..۴', 'تا', 'عکس', 'اتلیه', 'ا', 'چاپ', 'کرد#کن', 'چسبوند', 'رو', 'تخته', 'شاس', 'با', 'عکس', 'اتلیه', 'اصل', 'مو', 'نزد', '!', '\r', 'خلاصه', 'اینو', 'پیشنهاد', 'میکن', 'ول', 'باز', 'یه', 'جمع', 'بند', 'کنید\r', 'اگر', 'مشکل', 'مال', 'داشت#دار', 'g', '3400', 'یا', 'g', '3410', 'خرید#خر', 'که', 'وایرلس', 'ه', 'داره', '\r', 'ول', 'برا', 'من', 'بودن', 'و', 'بود#باش', 'وایفا', 'فرق', 'نمیکنه', 'شمارو', 'نمیدون', '\r', 'یه', 'نکته', 'حساس', 'و', 'مه', '؛', 'رنگ', 'مشک', 'این', 'پرین', 'پیگمنته', 'و', 'از', 'ذر', 'جامد', 'تشکیل', 'شده', 'هر', 'شب', 'سع', 'کرد#کن', 'یه', 'پرین', 'گرفت#گیر', 'از', 'حداکثر', '۲', 'روز', 'یبار', 'که', 'جوهر', 'رسوب', 'نکنه', 'و', 'هد', 'رو', 'خراب', 'کنه', '!', 'گزینه', 'خوبیه']",recommended,recommended,recommended,recommended,recommended
16,"['من', 'این', 'ساع', 'رو', 'لز', 'دیج', 'کالا', 'خرید', 'از', 'راض', 'گا', 'شمار', 'زیاد', 'دقیق', 'نیس', 'ول', 'تو', 'ورز', 'خیل', 'بدرد', 'بخوره', 'از', 'لحاظ', 'جنس', 'ه', 'محک', 'بنظر', 'میرسه', 'خرید', 'ردو', 'پیشنهاد', 'میکن', '.', '.', 'ممنون', 'از', 'دیج', 'کالا', 'ساع', 'اسکم']",recommended,recommended,recommended,recommended,recommended
17,"['من', 'این', 'ادو', 'تویلتو', 'خرید', '\r', 'بر', 'خلاف', 'اینکه', 'نوشته', 'خنک', 'خیل', 'ه', 'خنک', 'نیس', 'ضمنا', 'بو', 'شیرین', 'و', 'کارامل', 'خیل', 'غالبه', '.', 'انتظار', 'دا', 'بو', 'گل', 'غالب', 'باشه\r', 'ول', 'در', 'کل', 'با', 'کیف', 'و', 'زیباس', '.', 'مانگار', 'و', 'پخ', 'بو', 'خیل', 'خوب', 'داره', '.', 'تس', 'پرادا', 'کند', 'فلورال']",recommended,recommended,recommended,recommended,recommended
18,"['من', 'تو', 'تخفیف', 'ویژه', '5', 'تا', 'خرید', 'و', 'همشون', 'رو', 'ه', 'تس', 'کرد#کن', 'و', 'اینکه', 'میگن', 'دوس', 'که', 'خرابه', 'برا', 'من', 'پ', 'نیومده\r', 'انتقال', 'فایل', 'ه', 'میشه', 'با', 'کامپیو', 'اون', 'مشکل', 'ندارن\r', 'شارژ', 'سریع', 'تس', 'کرد#کن', 'اون', 'اوک', 'هس', '(', 'دوس', 'اینکه', 'کابل', 'فقط', 'شار', 'سریع', 'باشه', 'کاف', 'نیس', 'برا', 'اینکه', 'گوشیتون', 'سریع', 'شارژ', 'بشه', ',', 'کلگ', 'شارژ', 'و', 'خود', 'گوش', 'ه', 'باید', 'قابل', 'شارژ', 'سریع', 'رو', 'ه', 'داشته', 'باشه', ')', '\r', 'فقط', 'تن', 'مشکل', 'اینکه', 'جنس', 'خود', 'س', 'یک', 'ب', 'کیف', 'هس', 'و', 'امیدوار', 'پاره', 'نشن', '\r', 'برا', 'مد', 'عمر', 'فقط', 'کوتاهس', 'بین', '1', 'تا', '3', 'ماه', 'ب', 'دوا', 'نداره', 'البته', 'یک', 'یک', 'هفته', 'ه', 'دوا', 'نیاورد\r', 'در', 'ضمن', 'این', 'کابل', 'طرح', 'خوب', 'هستن', 'و', 'فابریک', 'سامسونگ', 'نیستن', 'نقد', 'منصفانه']",not_recommended,not_recommended,recommended,not_recommended,not_recommended
19,"['فندک', 'قبل', 'مدا', 'فیوز', 'میسوزوند', 'و', 'یک', 'بار', 'شارژر', 'موبایل', 'ه', 'سوزوند', 'ول', 'با', 'این', 'هیچ', 'مشکل', 'بوجود', 'نیومده', 'تا', 'ال', '.', 'کیفیت', 'خیل', 'خوبه', 'و', 'لامپ', 'ه', 'داره', 'خیال', 'راح', 'شد#شو']",recommended,recommended,not_recommended,not_recommended,not_recommended
20,"['اصلا', 'اون', 'چیز', 'که', 'انتظار', 'دا', 'بود#باش', 'اصلا', 'مقاو', 'نیس', 'به', 'راحت', 'ه', 'خ', 'برمی\u200cداره', 'زد#زن', 'خ', 'نیس', 'خرید#خر', 'خیل', 'ب', 'کیف']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
21,"['پیشنهاد', 'میکن', '.', '.', '.', 'خوشبووووو', 'بسیار', 'خوشبو']",recommended,recommended,recommended,recommended,recommended
22,"['من', 'قبلا', 'با', 'توجه', 'به', 'نزدیک', 'بودن', 'رایحه', 'این', 'عطر', 'به', 'عطر', 'ژوزف', 'ماین', 'و', 'آرماف', 'اینتس', 'که', '', 'شبیه', 'به', 'کرید', 'اونتوس', 'دراند', 'را', 'از', 'پیشنهاد', 'ویژه', 'خرید', 'گرد', '.', 'پس', 'از', 'استفاده', ':', '\r', '**', 'حت', 'با', 'تعداد', '6', 'پاف', 'پخ', 'بو', 'بسیار', 'بسیار', 'ضعیف', 'بود#باش', 'به', 'طور', 'که', 'خود', 'ه', 'به', 'سخت', 'رایحه', 'عطر', 'را', 'متوجه', 'شدم\r', '**', 'ماندگار', 'بسیار', 'ضعیف', '\r', '**', 'نوع', 'رایحه', 'عطر', 'خوشبو', 'و', 'ملا', 'پول', 'دور', 'ریختن']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
23,"['من', 'این', 'روک', 'رو', 'رو', 'ال', '۹۰', 'بس', 'کیفیت', 'فوق', 'العادس', 'و', 'خیل', 'فر', 'رو', 'خو', 'دس', 'میکنه', 'دوختن', 'اسونه', 'فقط', 'ز', 'میبره', 'و', 'اموزش', 'ه', 'در', 'اینترن', 'هس', 'در', 'یک', 'کلا', 'فوق', 'العاده']",recommended,recommended,recommended,not_recommended,not_recommended
24,"['کالا', 'کاملا', 'اصال', 'داره', 'و', 'از', 'طریق', 'بارکدخو', 'متوجه', 'میش', 'کالا', 'اصله', 'و', 'تقلب', 'نیست\r', 'کیف', 'مناسب', 'داره\r', 'زیباست\r', 'خیل', 'به', 'درد', 'استخر', 'و', 'ورزش', 'آب', 'یا', 'رفتن', 'لب', 'ساحل', 'میخوره\r', 'قیمت', 'تو', 'پیشنهاد', 'ویژه', 'هنوز', 'بالاس', 'اما', 'خوب', 'بالخره', 'برنده', 'آندرآرموره\r', 'فکر', 'میکن', 'ساخ', 'برزیل', 'باشه', 'یه', 'کوله', 'سبک', 'و', 'جمع', 'و', 'جور']",recommended,recommended,recommended,recommended,recommended
25,"['من', 'خرید', 'خوب', 'وصل', 'میشه', 'و', 'سرعت', 'عالیه', 'ول', 'اصلا', 'برنامه', 'ول', 'نمیشه', 'و', 'ارور', 'پسورد', 'اشتباه', 'میده', '.', '.', 'با', '4', 'بار', 'ریس', 'کردن', 'ه', 'درس', 'شد#شو', 'خراب', 'بودن', 'سیستم']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
26,"['اصلا', 'انتظار', 'همچین', 'جنس', 'ب', 'کیفیت', 'رو', 'ندا', '،', 'چند', 'روز', 'بعد', 'مارک', 'بنز', 'گ', 'شد#شو', '،', 'یک', 'ماه', 'بعد', 'خود', '،', 'کلا', 'کیف', 'صفر', '،', 'اصلا', 'پیشنهاد', 'نمیکن', '،', 'در', 'حد', 'اسباب', 'باز', 'کیف', 'صفر']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
27,"['برا', 'پسر', 'تهیه', 'کرد#کن', 'خیل', 'قشنگه', 'دوخ', 'عال', 'داره', 'بعده', 'شستشو', 'تغییر', 'کرد#کن', 'در', 'ضمن', 'خیل', 'لطیفه', '،', 'پیشنهاد', 'میکن', 'خرید#خر', 'ک', 'مناسب']",recommended,recommended,recommended,recommended,recommended
28,"['بدون', 'پخ', 'بو', 'و', 'ماندگار', 'زیاد', 'امیدوار', 'کیفیت', 'رو', 'ارتقا', 'بدن', 'محصول', 'ضعیف', 'هس']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
29,"['نظر', 'قبلیمو', 'تصحیح', 'میکن', 'بعد', 'از', 'مدت', 'استفاده', 'لکه', '', 'سیاه', 'گرف', 'و', 'به', 'هیچ', 'عنو', 'محصول', 'مویلار', 'رو', 'پیشنهاد', 'نمیکنم\r', 'علاوه', 'بر', 'این', 'ظرف', 'من', 'ظروف', 'دیگ', 'رو', 'ه', 'خرید#خر', 'اوناه', 'لکه', 'شدن', 'ظروف', 'مویلار']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
30,"['این', 'ظرف', 'برا', 'کوه', 'نورد', '،', 'شکارچ', 'وافراد', 'که', 'به', 'طبیع', 'م', 'روند', 'کارا', 'فوقالعاده', 'بالا', 'داشت#دار', '.', 'اشب']",recommended,recommended,recommended,recommended,recommended
31,"['خیل', 'زیبا', '،', 'عال', '،', 'قیم', 'خوب', 'ظاهر', 'زیبا', '،', 'جنس', 'مواد', 'استفاده', 'شده', 'عال', 'هس', '،', 'همه', 'مواد', 'اول', '.', 'ساع', 'زیبا', 'با', 'طراح', 'و', 'ظاهر', 'دقیق', '،', 'قیم', 'مناسب', '.']",recommended,recommended,recommended,recommended,recommended
32,"['دوباره', 'تکرار', 'میکن', 'که', 'از', 'لحاظ', 'کیف', 'وشیک', 'و', 'راحت', 'عال', '،', '', 'خورده', 'از', 'لحاظ', 'قیم', 'با', 'این', 'شرایط', 'اقتصاد', 'که', 'در', 'کشور', 'حاکمه', 'همه', 'کس', 'مخصوصا', 'کارمندا', 'وکارگر', 'قدر', 'خرید', 'آنرا', 'داشت#دار', 'ودر', 'آخر', 'از', 'زح', 'شما', 'که', 'در', 'ارسال', 'وتحویل', 'کالا', 'هیچ', 'سو', 'تفاهم', 'پ', 'نمیاد', 'ممنون', 'وسپاسگزار', '.', 'کف', 'چر', 'ژاو']",recommended,recommended,recommended,recommended,recommended
33,"['بدرد', 'نمیخوره', 'ضخ', 'هس']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
34,"['خرید#خر', '.', 'چیز', 'خوبیه', '.', 'یه', 'موقع', 'احتیاج', 'میشه', 'بود#باش', 'به', 'از', 'نبودشه', 'چیز', 'خوبیه']",recommended,recommended,recommended,recommended,recommended
35,"['وقت', 'ازجعبه', 'خارج', 'کرد#کن', '،', 'متوجه', 'شد#شو', 'از', '۲ناحیه', 'شکستگ', 'داشت#دار', '،', 'بسیار', 'ب', 'کیف', 'میباشد', '،', 'جنس', 'بدنه', 'از', 'مواد', 'کهنه', 'تهیه', 'شده', 'و', 'بشیار', 'خشک', 'و', 'شکننده', 'میباشد', 'وحید']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
36,"['به', 'اندازه', 'پول', 'که', 'داده', 'میشه', 'کاربرد', 'هس', '.', 'قابل', 'قبول', 'هس']",recommended,recommended,recommended,recommended,recommended
37,"['فشار', 'زیاد', 'به', 'دست\r', 'مد', 'ز', 'اندازه', 'گیر', 'فشار\r', '۴۰', 'درصد', 'احتمال', 'خطا', '(', 'ERROR', ')', 'میدهد', 'هرگز', 'خرید#خر']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
38,"['من', 'گرف', 'تا', 'هفته', 'اول', 'خوب', 'بود#باش', 'بعد', 'یه', 'هفته', 'س', 'قطع', 'دا', 'بعد', 'یه', 'ماه', 'کلا', 'دیگه', 'کار', 'نم', 'کرد#کن', 'درکل', 'خوب', 'نیس']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
39,"['من', 'خرید', 'ول', 'حس', 'میکن', 'کنترل', 'مثل', 'دلفین', '', 'راح', 'نیس', 'نسب', 'به', 'قیم', 'خوبه']",recommended,recommended,recommended,recommended,recommended
40,"['به', 'غیر', 'از', 'اینکه', 'خیل', 'کوچولو', '#هست', 'ول', 'خیل', 'عالیه', 'عال', 'حرف', 'نداره', 'خرید#خر']",recommended,recommended,recommended,recommended,recommended
41,"['،', 'دوس', 'عزیز', 'دق', 'کرد#کن', 'در', 'مورد', 'خرید', 'این', 'پاوربانک', 'خیل', 'مهمه', 'چون', 'من', 'خرید', 'دوبار', 'خرید', 'زد#زن', 'و', 'دق', 'کن', 'از', 'سر', 'a', 'و', 'سر', 'b', 'خیل', 'تفاو', '', 'با', 'همدیگه', 'داشت#دار', 'یک', 'از', 'مه', 'تفاو', '', 'که', 'داشت#دار', 'اینه', 'که', 'سر', 'b', 'سه', 'تا', 'خروج', '۶', 'آمپر', 'داره', 'اما', 'خروج', '', 'سر', 'اید', 'پرو', 'یک', 'آمپر', '#هست', 'خیل', 'دق', 'کرد#کن', 'من', 'خرید', 'زد#زن', 'بعد', 'که', 'آورد#آور', 'باز', 'کرد#کن', 'م', 'بین', 'که', 'اون', 'چیز', 'که', 'سفار', 'داد', 'نیست', 'بعد', 'پولتونو', 'که', 'خواست#خواه', 'پس', 'بگیرین', 'حدود', '۲۰', 'روز', 'طول', 'میکشه', 'هف', 'روز', 'طول', 'میکشه', 'که', 'این', 'جعبه', 'رو', 'واستون', 'برگردوند', 'و', 'بعد', '۷', 'روز', 'طول', 'میکشه', 'که', 'حدود', 'اینکه', 'پولتونو', 'بهتون', 'بدن', 'خرید', 'که', 'من', 'زد#زن', 'نه', 'تن', 'مغایر', 'دا', 'بلکه', 'خود', 'دستگاه', 'ه', 'خراب', 'بود#باش', 'حت', 'شارژ', 'کرد#کن', 'میزار', 'داخل', 'شارژ', 'به', 'سرع', 'شارژ', 'تمو', 'میشد', 'و', 'تما', 'چراغ', '', 'خراب', 'بود#باش', 'خود', 'شارژر', 'ه', 'مشکل', 'دا', 'راه', 'خود', 'شارژ', 'خامو', 'نم', 'شد#شو', 'متاسفانه', 'من', 'اصلا', 'راض', 'نیس', 'و', 'پیشنهاد', 'م', 'کن', 'به', 'هیچ', 'عنو', 'این', 'پاور', 'بانک', 'را', 'گرفت#گیر', 'این', 'یاد', 'میگیرین', 'از', 'جا', 'تهیه', 'کرد#کن', 'که', 'ببینید', 'پ', 'سر', 'ب', 'هک', 'شده', 'باشه', 'خیل', 'مهمه', 'که', '۶', 'آمپر', 'بود#باش', 'تا', 'اینکه', '۲', 'آمپر', 'شد#شو', 'خروج', 'اصلا', 'قابل', 'مقایسه', 'نیس', 'خرید', '2', 'عدد', 'و', 'مغایر', 'سریaو', 'bو', 'تفاو', 'دو', 'مدل']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
42,"['با', 'سلا', '،', 'با', 'چیز', 'که', 'تو', 'عکس', 'هس', 'فرق', 'داره', '،', 'اصلا', 'رو', 'گوش', 'درس', 'واینمیسته', '،', '', 'لبه', 'گوش', 'خال', 'میمونه', 'نمیرسه', 'ب', 'ال', 'س', 'د', '،', 'من', 'ک', 'مرجوع', 'کرد#کن', 'خرید#خر', 'خوب', 'نیس', 'اصلا']",not_recommended,not_recommended,not_recommended,recommended,recommended
43,"['به', 'هیچ', 'عنو', 'ارز', 'خرید', 'نداره', 'به', 'هیچ', 'عنو', 'ارز', 'خرید', 'نداره']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
44,"['پایه', '', 'شل\r', 'قفل', 'خوب', 'نگه', 'نمیداره\r', 'پیچ', 'پلاستیکه', 'خیل', 'بد']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
45,"['محاسبه', 'شاخص', '', 'سلامت', 'و', 'ظراف', 'در', 'عین', 'محکم', 'و', 'ضریب', 'خطا', 'آن', 'طبق', 'چیز', 'که', 'گفته', 'شده', 'نیس', 'تا', '۲۰۰', 'گر', 'هس', '.', 'عال', 'ول', 'دارا', 'یه', 'نکته', 'جالب']",recommended,recommended,recommended,recommended,recommended
46,"['اتصال', 'پایه', '', 'خیل', 'ضعیفه', '.', 'وقت', 'باز', 'کرد#کن', 'یک', 'از', 'پایه', '', 'جدا', 'شد#شو', '.', 'خلاصه', 'طراح', 'خوب', 'داره', 'ول', 'از', 'نظر', 'کیف', 'خیل', 'خیل', 'ضعیفه', '.', 'یه', 'جا', 'از', 'پایه', 'چوب', 'رو', 'ه', 'فکر', 'کن', 'آقا', 'موشه', 'خورد#خور', '.', 'کیف', 'پایین']",not_recommended,not_recommended,not_recommended,not_recommended,not_recommended
